id,round,date,home_team,tf,away_team,home_score,away_score
149,15,Sun Dec 27 2020,Liverpool,1–1,West Brom,1,1
150,15,Sun Dec 27 2020,Wolves,1–1,Tottenham,1,1
151,16,Mon Dec 28 2020,Crystal Palace,1–1,Leicester City,1,1
152,16,Mon Dec 28 2020,Chelsea,1–1,Aston Villa,1,1
153,16,Tue Dec 29 2020,West Brom,0–5,Leeds United,0,5
154,16,Tue Dec 29 2020,Southampton,0–0,West Ham,0,0
155,16,Tue Dec 29 2020,Burnley,1–0,Sheffield Utd,1,0
156,16,Tue Dec 29 2020,Brighton,0–1,Arsenal,0,1
157,16,Tue Dec 29 2020,Manchester Utd,1–0,Wolves,1,0
158,16,Wed Dec 30 2020,Newcastle Utd,0–0,Liverpool,0,0
159,16,Wed Jan 13 2021(P),Tottenham,1–1,Fulham,1,1
160,16,Wed Feb 17 2021(P),Everton,1–3,Manchester City,1,3
161,17,Fri Jan 01 2021,Everton,0–1,West Ham,0,1
162,17,Fri Jan 01 2021,Manchester Utd,2–1,Aston Villa,2,1
163,17,Sat Jan 02 2021,Tottenham,3–0,Leeds United,3,0
164,17,Sat Jan 02 2021,Crystal Palace,2–0,Sheffield Utd,2,0
165,17,Sat Jan 02 2021,Brighton,3–3,Wolves,3,3
166,17,Sat Jan 02 2021,West Brom,0–4,Arsenal,0,4
167,17,Sun Jan 03 2021,Newcastle Utd,1–2,Leicester City,1,2
168,17,Sun Jan 03 2021,Chelsea,1–3,Manchester City,1,3
169,17,Mon Jan 04 2021,Southampton,1–0,Liverpool,1,0
170,17,Wed Feb 17 2021(P),Burnley,1–1,Fulham,1,1
171,18,Tue Jan 12 2021,Sheffield Utd,1–0,Newcastle Utd,1,0
172,18,Tue Jan 12 2021,Wolves,1–2,Everton,1,2
173,18,Wed Jan 13 2021,Manchester City,1–0,Brighton,1,0
174,18,Thu Jan 14 2021,Arsenal,0–0,Crystal Palace,0,0
175,18,Tue Jan 19 2021,West Ham,2–1,West Brom,2,1
176,18,Tue Jan 19 2021,Leicester City,2–0,Chelsea,2,0
177,18,Wed Jan 20 2021,Fulham,1–2,Manchester Utd,1,2
178,18,Thu Jan 21 2021,Liverpool,0–1,Burnley,0,1
179,18,Tue Feb 23 2021(P),Leeds United,3–0,Southampton,3,0
180,18,Sun Mar 21 2021(P),Aston Villa,0–2,Tottenham,0,2
181,19,Sat Jan 16 2021,Wolves,2–3,West Brom,2,3
