team,against_team,best_val,worst_val
West Brom,Southampton,0.5599999999999999,0.010000000000000002
Southampton,Newcastle Utd,0.6028203230275508,0.12
Newcastle Utd,Southampton,0.6528203230275509,0.0
Southampton,West Ham,0.6028203230275508,0.12
West Ham,Southampton,0.6,0.010000000000000002
Southampton,Leeds United,0.6028203230275508,0.12
Leeds United,Southampton,0.7745966692414834,0.0
Southampton,Liverpool,0.6028203230275508,0.12
Liverpool,Southampton,0.59,0.5333225575051662
Liverpool,Aston Villa,0.59,0.5333225575051662
Aston Villa,Liverpool,0.6,0.010000000000000002
Liverpool,Manchester City,0.59,0.5333225575051662
Manchester City,Liverpool,0.7745966692414834,0.04000000000000001
Liverpool,Manchester Utd,0.59,0.5333225575051662
Manchester Utd,Liverpool,0.9486832980505138,0.0
Liverpool,Burnley,0.59,0.5333225575051662
Burnley,Liverpool,0.6,0.0
Liverpool,Chelsea,0.59,0.5333225575051662
Chelsea,Liverpool,0.6828203230275509,0.1
Liverpool,Brighton,0.59,0.5333225575051662
Brighton,Liverpool,0.5477225575051662,0.0
Liverpool,Wolves,0.59,0.5333225575051662
Wolves,Liverpool,0.4798979485566356,0.1
Liverpool,Sheffield Utd,0.59,0.5333225575051662
Sheffield Utd,Liverpool,0.4798979485566356,0.0
Liverpool,Everton,0.59,0.5333225575051662
Everton,Liverpool,0.6495067811865476,0.5748555320336759
Liverpool,Tottenham,0.59,0.5333225575051662
Tottenham,Liverpool,0.838528137423857,0.010000000000000002
Liverpool,Leicester City,0.59,0.5333225575051662
Leicester City,Liverpool,0.7345966692414834,0.0
Liverpool,West Brom,0.59,0.5333225575051662
West Brom,Liverpool,0.5599999999999999,0.010000000000000002
Liverpool,Newcastle Utd,0.59,0.5333225575051662
Newcastle Utd,Liverpool,0.6528203230275509,0.0
Liverpool,West Ham,0.59,0.5333225575051662
West Ham,Liverpool,0.6,0.010000000000000002
Liverpool,Leeds United,0.59,0.5333225575051662
Leeds United,Liverpool,0.7745966692414834,0.0
Leeds United,Aston Villa,0.7745966692414834,0.0
Aston Villa,Leeds United,0.6,0.010000000000000002
Leeds United,Manchester City,0.7745966692414834,0.0
Manchester City,Leeds United,0.7745966692414834,0.04000000000000001
Leeds United,Manchester Utd,0.7745966692414834,0.0
Manchester Utd,Leeds United,0.9486832980505138,0.0
Leeds United,Burnley,0.7745966692414834,0.0
Burnley,Leeds United,0.6,0.0
Leeds United,Chelsea,0.7745966692414834,0.0
Chelsea,Leeds United,0.6828203230275509,0.1
Leeds United,Brighton,0.7745966692414834,0.0
Brighton,Leeds United,0.5477225575051662,0.0
Leeds United,Wolves,0.7745966692414834,0.0
Wolves,Leeds United,0.4798979485566356,0.1
Leeds United,Sheffield Utd,0.7745966692414834,0.0
Sheffield Utd,Leeds United,0.4798979485566356,0.0
Leeds United,Everton,0.7745966692414834,0.0
Everton,Leeds United,0.6495067811865476,0.5748555320336759
Leeds United,Tottenham,0.7745966692414834,0.0
Tottenham,Leeds United,0.838528137423857,0.010000000000000002
Leeds United,Leicester City,0.7745966692414834,0.0
Leicester City,Leeds United,0.7345966692414834,0.0
Leeds United,West Brom,0.7745966692414834,0.0
West Brom,Leeds United,0.5599999999999999,0.010000000000000002
Leeds United,Newcastle Utd,0.7745966692414834,0.0
Newcastle Utd,Leeds United,0.6528203230275509,0.0
